City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Hualmay,PE,-11.0964,-77.6139,66.43,70,15,10.38,few clouds
162,Carnot,CF,4.9409,15.8665,70.81,95,100,2.42,light rain
163,Dobsice,CZ,48.8483,16.0822,69.04,51,3,5.28,clear sky
164,Salym,RU,60.0625,71.4789,56.01,84,14,4.9,few clouds
165,Walvis Bay,NA,-22.9575,14.5053,66.09,46,31,12.64,scattered clouds
166,Bilma,NE,18.6853,12.9164,94.08,27,100,14.52,overcast clouds
167,Sehithwa,BW,-20.4667,22.7167,57.42,44,0,7.65,clear sky
168,Arlit,NE,18.7369,7.3853,94.05,32,99,12.77,overcast clouds
169,Cap-Aux-Meules,CA,47.3821,-61.8597,75.25,68,40,16.11,scattered clouds
170,Mayahi,NE,13.9553,7.6712,77.5,73,100,8.9,overcast clouds
171,Cidreira,BR,-30.1811,-50.2056,56.43,64,67,12.48,broken clouds
172,Batticaloa,LK,7.7102,81.6924,82.09,78,100,1.81,overcast clouds
173,Pryazha,RU,61.6926,33.6216,54.63,81,7,5.17,clear sky
174,Porto Santo,PT,33.072,-16.3415,71.98,73,20,14.97,few clouds
175,Sisimiut,GL,66.9395,-53.6735,47.55,75,91,5.73,overcast clouds
176,Axim,GH,4.8699,-2.2405,75.04,79,37,9.71,scattered clouds
177,Sosua,DO,19.7667,-70.5167,94.98,66,20,23.02,few clouds
178,Saint-Pierre,RE,-21.3393,55.4781,69.91,70,0,23.02,clear sky
179,Almansa,ES,38.8692,-1.0971,84.09,28,0,7.0,clear sky
180,Lagoa,PT,39.05,-27.9833,70.81,88,0,9.8,clear sky
181,Liverpool,GB,53.4106,-2.9779,84.88,37,0,11.5,clear sky
182,La Romana,DO,18.4273,-68.9728,91.76,55,75,17.27,broken clouds
183,Nagaur,IN,27.2,73.7333,89.82,61,33,5.48,scattered clouds
184,Skhisma,GR,35.2667,25.7167,85.84,62,0,13.09,clear sky
185,Roura,GF,4.7263,-52.3274,87.71,62,20,8.05,few clouds
186,Taywarah,AF,33.35,64.4167,64.87,19,0,3.47,clear sky
187,Bengkulu,ID,-3.8004,102.2655,75.65,89,35,4.23,scattered clouds
188,Coari,BR,-4.085,-63.1414,92.7,45,94,4.29,overcast clouds
189,Coquimbo,CL,-29.9533,-71.3436,58.73,51,0,12.66,clear sky
190,Najran,SA,17.4924,44.1277,85.77,28,98,7.76,overcast clouds
191,Llallagua,BO,-18.4167,-66.6333,52.92,27,79,17.96,broken clouds
192,Libreville,GA,0.3925,9.4537,75.42,78,12,10.18,few clouds
193,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.73,77,81,12.5,broken clouds
194,Duki,PK,30.1541,68.5728,78.19,70,16,1.66,few clouds
195,Birjand,IR,32.8663,59.2211,77.43,13,0,13.91,clear sky
196,Grand Falls,CA,47.0461,-67.7418,84.0,47,29,6.46,scattered clouds
197,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,2.3,broken clouds
198,Taltal,CL,-25.4,-70.4833,62.6,60,0,5.12,clear sky
199,Sur,OM,22.5667,59.5289,86.23,66,100,9.28,light rain
200,Kruisfontein,ZA,-34.0033,24.7314,65.88,26,0,14.05,clear sky
201,Skjervoy,NO,70.0311,20.9714,51.8,80,100,7.52,overcast clouds
202,Sechura,PE,-5.5569,-80.8222,75.16,57,3,13.11,clear sky
203,Waddan,LY,29.1614,16.139,86.34,20,0,9.04,clear sky
204,Ilulissat,GL,69.2167,-51.1,51.82,58,20,9.22,few clouds
205,Kargasok,RU,59.0556,80.8572,51.8,94,10,8.81,clear sky
206,Atkinson,US,42.8384,-71.147,92.89,66,100,5.75,overcast clouds
207,Bud,US,39.447,-86.1758,75.22,94,100,10.02,overcast clouds
208,Novobelokatay,RU,55.7062,58.9549,59.16,84,6,1.68,clear sky
209,Kapiri Mposhi,ZM,-13.9652,28.6809,54.99,58,52,7.96,broken clouds
210,Iskateley,RU,67.6803,53.1512,60.76,89,100,6.38,overcast clouds
211,Goderich,CA,43.7501,-81.7165,74.91,70,100,1.54,overcast clouds
