City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
409,Puerto Leguizamo,CO,78.94,overcast clouds,-0.1934,-74.7819,la casona de juancho
412,Bani,DO,89.04,few clouds,18.2833,-70.3333,Hospedaje Henriquez
413,Bahia Honda,CU,89.37,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
414,Salinopolis,BR,82.96,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
415,Guarapari,BR,78.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
417,Naples,IT,86.61,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
420,Esmeraldas,BR,81.46,broken clouds,-19.7625,-44.3139,Forasteiro Pousada
422,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
426,Gunjur,GM,79.93,overcast clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
428,Sann,PK,82.31,heavy intensity rain,26.0418,68.1378,New Sindhri Hotel
432,Praia Da Vitoria,PT,77.76,few clouds,38.7333,-27.0667,Hotel Branco I
439,Hobyo,SO,77.04,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
447,Nantucket,US,82.54,clear sky,41.2835,-70.0995,Jared Coffin House
451,Misratah,LY,80.73,clear sky,32.3754,15.0925,Almasa Hotel
456,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Pousada Camboinha
459,Port Hawkesbury,CA,81.59,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
464,Dakoro,NE,81.66,light rain,14.5106,6.765,Shagon mai liverpool
468,Shache,CN,80.71,clear sky,38.4167,77.2406,Delong Hotel
479,Murgab,TM,84.07,clear sky,37.4966,61.9714,Wepa Nurlyýew
487,Sarankhola,BD,81.18,scattered clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
488,Lincoln,US,87.3,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
492,Rio Esteban,HN,89.65,scattered clouds,15.8333,-86.3,Hotel La Fé
497,Ubata,BR,80.35,clear sky,-14.2139,-39.5228,Pousada Caique
500,Baillif,GP,85.5,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
501,Isabela,PH,77.68,overcast clouds,6.7085,121.9711,Isawad Resort
502,Beruwala,LK,79.03,overcast clouds,6.4788,79.9828,The Palms Hotel
503,Muros,ES,84.16,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
505,Carupano,VE,81.73,overcast clouds,10.6678,-63.2585,Hotel La dorada
510,Mankono,CI,75.25,broken clouds,8.0586,-6.1897,Hôtel cotonputeur
511,Bojnurd,IR,76.95,clear sky,37.4747,57.329,Hotel negin bojnourd
519,Bergama,TR,76.62,clear sky,39.1207,27.1805,Anil Hotel
526,Mabaruma,GY,84.49,few clouds,8.2,-59.7833,Monty Brooms Guest House
528,Miraflores,MX,75.02,overcast clouds,19.2167,-98.8083,Hotel Mansión
529,Zhezkazgan,KZ,78.08,clear sky,47.8043,67.7144,Hotel Zumrat
533,Kalmunai,LK,81.46,overcast clouds,7.4167,81.8167,VS Villa
535,Amantea,IT,85.15,clear sky,39.1332,16.0746,Mediterraneo Palace Hotel
536,Limon,CR,84.09,clear sky,10.0,-83.0333,Hotel Playa Bonita
538,Pompeia,BR,82.92,overcast clouds,-22.1086,-50.1717,Hotel Pousada Vale do Sol
540,Woudenberg,NL,75.06,broken clouds,52.0808,5.4167,Schimmel 1885
541,Suffolk,US,85.26,scattered clouds,40.8668,-72.7996,Greenwood Village
544,San Lawrenz,MT,80.01,clear sky,36.0553,14.204,San Andrea Hotel
552,Markala,ML,87.26,broken clouds,13.7021,-6.0659,Hôtel Igor
553,Nushki,PK,88.43,few clouds,29.5542,66.0215,Shams hotel
554,Acarau,BR,83.77,scattered clouds,-2.8856,-40.12,castelo pizzaria
556,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
561,Encruzilhada,BR,76.21,few clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
564,Harsud,IN,77.09,moderate rain,22.1,76.7333,Tortoise Tapu (Anay)
565,Butterworth,MY,84.24,few clouds,5.3991,100.3638,Cititel Penang
568,Artyom,AZ,78.94,clear sky,40.4723,50.333,Pir hos
570,Mecca,SA,88.54,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
573,Lekoni,GA,86.25,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
574,Harper,LR,75.56,overcast clouds,4.375,-7.7169,Screensaver
576,Nieuw Amsterdam,SR,86.14,scattered clouds,5.8833,-55.0833,Hotel Stardust
577,Japura,ID,75.58,broken clouds,-0.3167,102.35,Rumah mbah Jamah
578,Changji,CN,86.79,thunderstorm,44.0167,87.3167,Lvye Holiday Resort
583,Jerez,GT,81.79,clear sky,14.1,-89.75,Auto hotel Esmeralda
585,Vila Do Maio,CV,81.39,clear sky,15.1333,-23.2167,Hotel Marilu
590,Bari Sadri,IN,78.06,overcast clouds,24.4167,74.4667,Durga Auto and vishvkarma service badisadri rajasthan
594,Parrita,CR,83.19,overcast clouds,9.5201,-84.3225,Beso del Viento
595,Moengo,SR,83.03,overcast clouds,5.6167,-54.4,Masanga
596,Sokoni,TZ,76.01,light rain,-6.4333,39.55,Ujamaa Beach Resort
597,Mana,GF,81.0,overcast clouds,5.6592,-53.7767,LE SAMANA
601,Scarborough,GB,81.97,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
605,Puerto Cabezas,NI,87.76,broken clouds,14.0351,-83.3888,Cabaña Caribe
606,Lucea,JM,87.66,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
607,Nizhniy Baskunchak,RU,81.32,overcast clouds,48.2198,46.8311,Arman hotel
610,Labelle,US,86.99,moderate rain,26.7617,-81.4384,Port LaBelle Inn
612,Nicoya,CR,86.11,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
614,Kathu,TH,85.75,broken clouds,7.9178,98.3332,Novotel Phuket Resort
617,Gurupa,BR,85.15,broken clouds,-1.405,-51.64,Hotel Vitória
618,Fos-Sur-Mer,FR,87.64,clear sky,43.4377,4.9446,Ariane Hotel
620,Felanitx,ES,88.45,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
627,Kudahuvadhoo,MV,79.52,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
628,Seoni,IN,75.49,overcast clouds,22.0833,79.5333,STARiHOTELS Nehru Road Seoni
629,Westport,US,86.31,clear sky,41.1415,-73.3579,The Westport Inn
631,Santo Tomas,PH,77.25,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
632,Shu,KZ,79.23,clear sky,43.5983,73.7614,Shyngyzkhan
635,Bani Walid,LY,81.05,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
636,Coruripe,BR,77.13,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
637,Banda Aceh,ID,79.5,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
638,Trairi,BR,83.23,scattered clouds,-3.2778,-39.2689,janelas do mar
641,Mandera,KE,83.95,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
642,Syracuse,IT,83.79,clear sky,37.0881,15.2792,Hotel Posta
648,Tabou,CI,75.72,overcast clouds,4.423,-7.3528,hotêl doufoulougou
650,Aqtobe,KZ,75.29,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
654,Quixeramobim,BR,88.54,broken clouds,-5.1992,-39.2928,Hotel Veredas do Sertão
655,Kutum,SD,82.47,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
656,Baracoa,CU,86.72,scattered clouds,20.3467,-74.4958,Hostal Rio Miel
657,Prado,BR,75.99,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
