City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Mogadishu,SO,2022-07-16 01:05:09,2.0371,45.3438,75.88,82,82,17.56
145,Terrace Bay,CA,2022-07-16 01:05:10,48.7834,-87.1,48.65,93,28,4.7
146,Badhni Kalan,IN,2022-07-16 01:05:10,30.6833,75.2833,82.42,66,3,4.88
147,Saint George,US,2022-07-16 01:01:01,37.1041,-113.5841,105.26,19,0,13.8
148,Bousso,TD,2022-07-16 01:05:11,10.4795,16.7117,74.66,90,100,1.97
149,Leh,IN,2022-07-16 01:05:11,34.1667,77.5833,55.06,66,94,5.1
150,Brazzaville,CG,2022-07-16 01:02:56,-4.2658,15.2832,74.19,61,2,3.51
151,Lungi,SL,2022-07-16 01:05:12,9.2212,-12.6831,72.81,98,98,2.86
152,Namibe,AO,2022-07-16 01:05:12,-15.1961,12.1522,66.07,88,0,5.26
153,Mahebourg,MU,2022-07-16 01:05:13,-20.4081,57.7,70.25,76,92,17.0
154,Pizarro,CO,2022-07-16 01:05:13,4.9533,-77.366,77.41,85,58,5.48
155,Monrovia,LR,2022-07-16 01:05:13,6.3005,-10.7969,75.33,88,84,8.79
156,Mamallapuram,IN,2022-07-16 01:05:14,12.6264,80.1722,84.25,63,100,11.25
157,Hillsborough,US,2022-07-16 01:02:16,37.5741,-122.3794,80.94,73,20,20.71
158,Takoradi,GH,2022-07-16 01:05:14,4.8845,-1.7554,75.18,89,100,10.96
159,Brae,GB,2022-07-16 01:03:12,60.3964,-1.353,48.74,80,7,6.89
160,Dunda,TZ,2022-07-16 01:05:15,-8.1167,34.25,64.72,68,99,6.8
161,Zemio,CF,2022-07-16 01:05:15,5.0314,25.1361,67.28,98,99,2.77
162,San Cristobal,VE,2022-07-16 01:05:15,7.7669,-72.225,71.78,98,45,2.86
163,Saint-Philippe,RE,2022-07-16 01:05:16,-21.3585,55.7679,63.99,85,54,11.5
164,Tiznit,MA,2022-07-16 01:05:16,29.5833,-9.5,78.87,48,89,2.1
165,Loandjili,CG,2022-07-16 01:05:16,-4.7561,11.8578,69.66,92,3,1.92
166,Lodja,CD,2022-07-16 01:05:17,-3.4833,23.4333,73.18,71,73,1.14
167,Upata,VE,2022-07-16 01:05:17,8.0086,-62.3989,71.19,97,100,1.36
168,Aksarka,RU,2022-07-16 01:05:17,66.5606,67.7975,60.13,58,0,5.7
169,Khandbari,NP,2022-07-16 01:05:18,27.3747,87.2039,76.68,77,29,1.39
170,Port-Gentil,GA,2022-07-16 01:05:18,-0.7193,8.7815,73.8,81,58,12.35
171,Iquique,CL,2022-07-16 01:03:59,-20.2208,-70.1431,57.24,69,4,3.22
172,Kidodi,TZ,2022-07-16 01:05:19,-7.6036,37.0044,66.49,90,85,1.9
173,Karanpura,IN,2022-07-16 01:05:19,29.1018,75.092,88.77,55,41,10.07
174,Bitkine,TD,2022-07-16 01:05:19,11.9801,18.2138,73.78,88,100,4.05
175,Olafsvik,IS,2022-07-16 01:05:20,64.8945,-23.7142,51.13,89,100,17.29
176,Marsciano,IT,2022-07-16 01:05:20,42.9059,12.3359,74.37,65,13,1.72
177,Portel,BR,2022-07-16 01:05:21,-1.9356,-50.8211,78.3,79,100,2.98
178,Sortova,PA,2022-07-16 01:05:21,8.55,-82.65,73.0,92,75,1.57
179,Stykkisholmur,IS,2022-07-16 01:05:21,65.0757,-22.7297,49.59,89,100,9.53
180,Matara,LK,2022-07-16 01:05:22,5.9485,80.5353,76.35,90,100,8.08
181,Kaduqli,SD,2022-07-16 01:05:23,11.0167,29.7167,70.66,88,27,1.1
182,Concordia,AR,2022-07-16 01:05:23,-31.393,-58.0209,55.78,99,100,11.01
183,Husavik,IS,2022-07-16 01:05:24,66.0449,-17.3389,50.11,78,100,4.88
184,Verkhnyachka,UA,2022-07-16 01:05:24,48.8285,30.0396,56.53,91,11,6.33
185,Ullapool,GB,2022-07-16 01:05:24,57.8987,-5.1604,51.35,94,99,3.24
186,Uyuni,BO,2022-07-16 01:05:25,-20.4597,-66.825,34.52,20,10,17.36
187,Kidal,ML,2022-07-16 01:05:25,18.4411,1.4078,92.01,28,47,4.85
188,Komsomolskiy,UZ,2022-07-16 01:05:25,40.4272,71.7189,74.12,35,0,4.61
189,Tabou,CI,2022-07-16 01:05:26,4.423,-7.3528,74.26,89,100,9.82
190,Gasa,PS,2022-07-16 01:05:26,31.5,34.4667,68.88,69,0,4.27
191,Great Yarmouth,GB,2022-07-16 01:05:27,52.6083,1.7305,58.41,90,7,10.18
192,Posadas,AR,2022-07-16 01:05:27,-27.3671,-55.8961,71.58,83,75,3.44
193,Adre,TD,2022-07-16 01:05:27,13.4667,22.2,73.29,83,100,3.13
194,Laguna,US,2022-07-16 01:00:39,38.421,-121.4238,103.14,24,0,9.22
195,Kilembe,UG,2022-07-16 01:05:28,0.2,30.0,63.34,78,80,3.0
196,Gat,IL,2022-07-16 01:00:35,31.61,34.7642,75.88,100,0,2.39
197,Gualeguay,AR,2022-07-16 01:05:28,-33.1416,-59.3097,51.15,78,50,8.32
198,Tabuk,PH,2022-07-16 01:05:29,17.4189,121.4443,83.55,75,100,3.62
199,Redcliffe,AU,2022-07-16 01:02:14,-27.2307,153.0973,66.22,59,20,11.5
200,Bathsheba,BB,2022-07-16 01:05:29,13.2167,-59.5167,83.01,89,40,14.97
201,Akdepe,TM,2022-07-16 01:05:30,42.0551,59.3788,82.24,23,3,7.83
202,Odweyne,SO,2022-07-16 01:05:30,9.4092,45.064,70.2,71,100,21.34
203,Bengkulu,ID,2022-07-16 01:05:30,-3.8004,102.2655,77.85,84,100,1.23
204,Sharjah,AE,2022-07-16 01:05:31,25.3573,55.4033,96.78,45,0,5.75
205,Sistranda,NO,2022-07-16 01:05:31,63.7256,8.834,49.96,79,100,18.88
206,Sao Felix Do Xingu,BR,2022-07-16 01:05:31,-6.6447,-51.995,76.28,64,46,0.81
